capture_file,source_ip,source_port,destination_ip,destination_port,protocol,packet_count,first_seen_utc,last_seen_utc
empire_smbexec_dcerpc_smb_svcctl_WORKSTATION5_2020-09-20025716.cap,172.18.39.5,50201,10.10.10.5,80,TCP,91,2020-09-20T06:56:34.168Z,2020-09-20T06:58:49.939Z
empire_smbexec_dcerpc_smb_svcctl_WORKSTATION5_2020-09-20025716.cap,10.10.10.5,80,172.18.39.5,50201,TCP,219,2020-09-20T06:56:34.169Z,2020-09-20T06:58:49.898Z
empire_smbexec_dcerpc_smb_svcctl_WORKSTATION5_2020-09-20025716.cap,172.18.39.5,50504,172.18.39.6,445,TCP,33,2020-09-20T06:57:46.576Z,2020-09-20T06:57:48.259Z
empire_smbexec_dcerpc_smb_svcctl_WORKSTATION5_2020-09-20025716.cap,172.18.39.6,445,172.18.39.5,50504,TCP,30,2020-09-20T06:57:46.577Z,2020-09-20T06:57:48.261Z
empire_smbexec_dcerpc_smb_svcctl_WORKSTATION6_2020-09-20025716.cap,172.18.39.5,50504,172.18.39.6,445,TCP,40,2020-09-20T06:57:46.575Z,2020-09-20T06:57:48.257Z
empire_smbexec_dcerpc_smb_svcctl_WORKSTATION6_2020-09-20025716.cap,172.18.39.6,445,172.18.39.5,50504,TCP,30,2020-09-20T06:57:46.575Z,2020-09-20T06:57:48.258Z
empire_smbexec_dcerpc_smb_svcctl_WORKSTATION6_2020-09-20025716.cap,172.18.39.6,57683,10.10.10.5,80,TCP,56,2020-09-20T06:57:48.546Z,2020-09-20T06:58:51.700Z
empire_smbexec_dcerpc_smb_svcctl_WORKSTATION6_2020-09-20025716.cap,10.10.10.5,80,172.18.39.6,57683,TCP,96,2020-09-20T06:57:48.548Z,2020-09-20T06:58:51.652Z
