order,host,user,logon_id,image,pid,pid_hex,process_guid,parent_image,parent_pid,parent_process_guid,integrity,command_summary,correlation_status
1,WORKSTATION5.theshire.local,THESHIRE\\pgustavo,0x2D5A4B,C:\\Windows\\explorer.exe,5728,0x1660,{860ba2e3-993f-5f52-8402-000000000400},not captured,not captured,not captured,not captured,interactive shell already running,Parent identity supplied by child event
2,WORKSTATION5.theshire.local,THESHIRE\\pgustavo,0x2D5A4B,C:\\Windows\\System32\\wscript.exe,2440,0x988,{860ba2e3-9f13-5f52-2603-000000000400},C:\\Windows\\explorer.exe,5728,{860ba2e3-993f-5f52-8402-000000000400},Medium,WScript.exe C:\\Users\\pgustavo\\Desktop\\launcher.vbs,Confirmed by Sysmon 1 and Security 4688
3,WORKSTATION5.theshire.local,THESHIRE\\pgustavo,0x2D5A4B,C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,2316,0x90c,{860ba2e3-9f13-5f52-2703-000000000400},C:\\Windows\\System32\\wscript.exe,2440,{860ba2e3-9f13-5f52-2603-000000000400},Medium,powershell.exe -noP -sta -w 1 -enc <5056-character Base64>,Confirmed by Sysmon 1 and Security 4688
4,WORKSTATION5.theshire.local,THESHIRE\\pgustavo,0x2D5A4B,C:\\Windows\\System32\\conhost.exe,7700,0x1e14,{860ba2e3-9f13-5f52-2803-000000000400},C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,2316,{860ba2e3-9f13-5f52-2703-000000000400},Medium,console host for hidden PowerShell,Confirmed supporting child
5,WORKSTATION5.theshire.local,THESHIRE\\pgustavo,0x2D5A4B,C:\\Windows\\System32\\whoami.exe,9152,0x23c0,{860ba2e3-9f2e-5f52-2a03-000000000400},C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,2316,{860ba2e3-9f13-5f52-2703-000000000400},Medium,whoami.exe,Confirmed by Sysmon 1 Security 4688 and PowerShell logs
